구장_x,점유율
고척,65.80535714285715
광주,84.14226164079822
대구,73.35374293785311
대전,95.7422514619883
문학,68.00269865067466
사직,75.41216275595394
수원,63.256198347107436
울산,75.05390165021976
잠실,77.58297482837528
창원,59.209058144276966
청주,100.0
