
이름: 김현수(Hyun-Soo Kim),복귀년도: 2018
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
화,82,82,66,14,22,2,0,8,48,20,0,1,10,5,0,17,1,0,1,0.333,0.451,0.727,1.178,329,1.12,11.11,1.306
수,87,84,70,16,20,5,0,9,52,22,0,0,14,2,3,19,4,0,1,0.286,0.414,0.743,1.157,348,1.12,9.11,1.076
목,80,80,67,9,20,3,0,4,35,15,0,0,11,2,1,19,2,0,0,0.299,0.413,0.522,0.935,358,0.98,1.42,0.514
금,80,79,66,21,32,3,0,11,68,25,0,0,12,2,1,21,1,0,0,0.485,0.575,1.030,1.605,326,0.93,25.59,1.958
토,83,81,64,15,25,3,0,6,46,14,0,0,15,4,4,21,1,0,0,0.391,0.530,0.719,1.249,356,0.91,15.08,1.718
일,76,75,67,13,19,4,0,5,38,16,0,0,6,2,1,17,0,0,1,0.284,0.355,0.567,0.922,293,1.05,2.76,-0.182
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,50,49,43,5,8,1,0,1,12,4,0,0,5,2,1,13,3,0,0,0.186,0.300,0.279,0.579,201,1.17,-4.43,-0.429
17:00,72,71,59,13,23,2,0,5,40,14,0,0,10,3,3,19,1,0,0,0.390,0.500,0.678,1.178,306,0.81,11.90,0.965
18:00,55,54,45,11,16,5,0,5,36,14,0,0,7,2,1,11,1,0,1,0.356,0.455,0.800,1.255,207,1.08,7.23,0.778
18:30,311,307,253,59,91,12,0,32,199,80,0,1,46,10,5,71,4,0,2,0.360,0.473,0.787,1.260,1296,1.03,50.36,5.076
이름: 추신수(Shin-Soo Choo),복귀년도: 2021
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,319,319,251,42,64,9,1,13,114,43,15,5,56,9,1,69,6,0,3,0.255,0.404,0.454,0.858,1352,1.15,23.50,2.470
후반기,261,259,210,42,58,10,1,8,94,26,10,4,47,3,3,54,2,0,1,0.276,0.414,0.448,0.862,1040,1.02,23.88,2.027
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
4월,95,95,76,14,18,0,0,5,33,12,7,1,14,4,0,17,1,0,1,0.237,0.379,0.434,0.813,401,1.03,4.69,0.433
5월,96,96,70,10,16,2,1,3,29,14,3,2,24,1,0,24,0,0,1,0.229,0.427,0.414,0.841,439,1.23,11.98,1.222
6월,94,94,76,9,21,5,0,2,32,10,3,2,14,3,1,18,2,0,1,0.276,0.404,0.421,0.825,375,1.10,4.07,0.647
7월,34,34,29,9,9,2,0,3,20,7,2,0,4,1,0,10,3,0,0,0.310,0.412,0.690,1.102,137,1.43,2.77,0.168
8월,52,52,43,5,10,2,0,2,18,2,2,1,8,1,0,12,2,0,0,0.233,0.365,0.419,0.784,199,0.77,-0.06,-0.120
9월,109,108,96,17,26,2,0,3,37,11,2,3,13,0,1,23,0,0,0,0.271,0.358,0.385,0.743,441,1.18,6.24,0.088
10월,100,99,71,20,22,6,1,3,39,13,6,0,26,2,2,19,0,0,1,0.310,0.500,0.549,1.049,400,0.99,17.70,2.059
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
월,8,8,7,2,4,0,0,1,7,5,1,0,1,0,0,1,0,0,0,0.571,0.625,1.000,1.625,38,1.07,3.46,0.210
화,86,86,71,13,22,3,0,5,40,10,2,1,14,1,0,24,2,0,0,0.310,0.430,0.563,0.993,344,0.94,10.18,0.291
수,115,115,85,18,21,4,0,2,31,8,4,1,24,6,0,18,0,0,0,0.247,0.443,0.365,0.808,463,1.03,10.45,0.995
목,88,87,74,14,20,2,1,3,33,14,8,3,13,1,1,19,2,0,0,0.270,0.386,0.446,0.832,392,1.24,6.58,1.434
금,94,94,71,15,22,3,0,2,31,12,5,2,17,3,0,15,1,0,3,0.310,0.447,0.437,0.884,381,1.09,8.98,0.682
토,87,87,68,12,18,4,1,5,39,9,3,1,18,1,2,21,0,0,0,0.265,0.425,0.574,0.999,373,1.05,7.32,0.829
일,102,101,85,10,15,3,0,3,27,11,2,1,16,0,1,25,3,0,1,0.176,0.304,0.318,0.622,401,1.20,0.42,0.056
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,96,95,78,13,13,1,0,2,20,10,4,0,15,2,1,20,0,0,1,0.167,0.313,0.256,0.569,389,1.24,5.65,0.187
15:00,22,22,16,3,3,1,0,0,4,1,0,0,4,2,0,8,0,0,0,0.188,0.409,0.250,0.659,87,0.92,1.19,0.155
17:00,106,106,84,13,22,6,1,6,48,14,2,2,22,0,2,24,3,0,0,0.262,0.415,0.571,0.986,429,1.01,8.80,1.098
18:00,9,9,6,1,2,0,0,1,5,1,0,0,3,0,0,3,0,0,0,0.333,0.556,0.833,1.389,41,1.60,0.42,-0.033
18:30,337,336,269,53,81,10,1,12,129,43,18,7,57,8,1,66,5,0,3,0.301,0.433,0.480,0.913,1410,1.06,32.33,3.211
19:00,10,10,8,1,1,1,0,0,2,0,1,0,2,0,0,2,0,0,0,0.125,0.300,0.250,0.550,36,1.56,-1.01,-0.120
이름: 황재균(Jae-Gyun Hwang),복귀년도: 2021
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,207,207,184,37,58,6,1,7,87,33,4,4,22,1,0,35,5,0,0,0.315,0.391,0.473,0.864,878,1.03,10.80,0.158
후반기,300,298,269,37,74,10,1,3,95,23,7,0,24,2,1,57,6,1,4,0.275,0.334,0.353,0.687,1172,1.07,-12.61,-0.548
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
4월,80,80,68,13,22,2,1,1,29,9,2,0,12,0,0,15,0,0,0,0.324,0.425,0.426,0.851,372,1.15,2.56,0.003
6월,98,98,88,17,27,3,0,5,45,19,2,3,9,1,0,15,5,0,0,0.307,0.378,0.511,0.889,403,1.00,5.69,0.012
7월,29,29,28,7,9,1,0,1,13,5,0,1,1,0,0,5,0,0,0,0.321,0.345,0.464,0.809,103,0.84,2.54,0.142
8월,78,78,70,18,26,4,0,2,36,7,4,0,6,1,0,15,2,0,1,0.371,0.423,0.514,0.937,312,1.05,2.06,0.051
9월,115,115,104,10,27,3,0,1,33,7,3,0,9,0,0,24,2,0,2,0.260,0.313,0.317,0.630,443,0.97,-5.17,0.037
10월,107,105,95,9,21,3,1,0,26,9,0,0,9,1,1,18,2,1,1,0.221,0.292,0.274,0.566,417,1.21,-9.50,-0.636
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
월,12,12,11,2,3,0,0,1,6,2,0,0,1,0,0,2,0,0,0,0.273,0.333,0.545,0.878,51,0.87,0.28,0.043
화,68,68,55,7,17,4,0,1,24,4,1,0,11,1,0,11,2,0,1,0.309,0.426,0.436,0.862,278,0.99,-0.40,-0.125
수,89,89,81,16,26,1,1,2,35,13,3,1,7,0,0,11,1,0,1,0.321,0.371,0.432,0.803,387,1.12,2.54,0.196
목,85,84,80,11,18,6,0,1,27,8,1,0,3,0,0,16,2,1,1,0.225,0.250,0.338,0.588,327,1.06,-8.15,-0.674
금,84,83,71,12,21,0,1,1,26,7,2,0,11,1,1,16,3,0,1,0.296,0.393,0.366,0.759,318,1.17,0.83,-0.013
