날짜,요일,홈,방문,구장_x,관중수,지역,구장_y,수용인원(KBO),좌석수,점유율
2023/09/22,금,한화,키움,대전,7088,대전,한화생명 이글스 파크,"13,000",12000,59.06666666666667
2023/09/23,토,LG,한화,잠실,22765,잠실,서울종합운동장 야구장,"25,553",23750,95.85263157894737
2023/09/23,토,KIA,KT,광주,13846,광주,광주-KIA 챔피언스 필드,"20,500",20500,67.54146341463415
2023/09/23,토,SSG,롯데,문학,19725,문학,인천 SSG 랜더스필드,"23,000",23000,85.76086956521739
2023/09/23,토,NC,두산,창원,11026,창원,창원NC파크,"22,112",17891,61.62875188642334
2023/09/24,일,LG,한화,잠실,20369,잠실,서울종합운동장 야구장,"25,553",23750,85.7642105263158
2023/09/24,일,KIA,KT,광주,10108,광주,광주-KIA 챔피언스 필드,"20,500",20500,49.30731707317073
2023/09/24,일,SSG,롯데,문학,16280,문학,인천 SSG 랜더스필드,"23,000",23000,70.78260869565217
2023/09/24,일,NC,두산,창원,8247,창원,창원NC파크,"22,112",17891,46.09580235872785
2023/09/26,화,NC,KIA,창원,6945,창원,창원NC파크,"22,112",17891,38.81840031300654
2023/09/27,수,NC,KIA,창원,3775,창원,창원NC파크,"22,112",17891,21.099994410597507
2023/09/27,수,NC,KIA,창원,8190,창원,창원NC파크,"22,112",17891,45.777206416634066
2023/09/27,수,LG,KT,잠실,5656,잠실,서울종합운동장 야구장,"25,553",23750,23.814736842105262
2023/09/27,수,LG,KT,잠실,14733,잠실,서울종합운동장 야구장,"25,553",23750,62.03368421052632
2023/09/27,수,SSG,두산,문학,6526,문학,인천 SSG 랜더스필드,"23,000",23000,28.37391304347826
2023/09/27,수,SSG,두산,문학,12132,문학,인천 SSG 랜더스필드,"23,000",23000,52.747826086956515
2023/09/27,수,한화,삼성,대전,2807,대전,한화생명 이글스 파크,"13,000",12000,23.391666666666666
2023/09/27,수,한화,삼성,대전,7281,대전,한화생명 이글스 파크,"13,000",12000,60.675000000000004
2023/09/28,목,롯데,한화,사직,12227,사직,사직야구장,"22,990",22758,53.72616222866684
2023/09/28,목,NC,KIA,창원,11864,창원,창원NC파크,"22,112",17891,66.31267117545134
2023/09/28,목,키움,SSG,고척,7082,고척,고척스카이돔,"17,000",16000,44.262499999999996
2023/09/28,목,LG,삼성,잠실,21057,잠실,서울종합운동장 야구장,"25,553",23750,88.66105263157895
2023/09/29,금,롯데,한화,사직,10279,사직,사직야구장,"22,990",22758,45.16653484488971
2023/09/29,금,키움,KIA,고척,14472,고척,고척스카이돔,"17,000",16000,90.45
2023/09/29,금,두산,LG,잠실,20951,잠실,서울종합운동장 야구장,"25,553",23750,88.21473684210527
2023/09/30,토,SSG,KIA,문학,22191,문학,인천 SSG 랜더스필드,"23,000",23000,96.48260869565217
2023/09/30,토,두산,LG,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/09/30,토,삼성,NC,대구,24000,대구,대구 삼성 라이온즈파크,"24,000",24000,100.0
2023/10/01,일,SSG,KIA,문학,22701,문학,인천 SSG 랜더스필드,"23,000",23000,98.7
2023/10/01,일,두산,LG,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/10/01,일,한화,NC,대전,11004,대전,한화생명 이글스 파크,"13,000",12000,91.7
2023/10/01,일,롯데,삼성,사직,20159,사직,사직야구장,"22,990",22758,88.57984005624397
2023/10/01,일,KT,키움,수원,11337,수원,케이티위즈파크,"20,000",18700,60.62566844919785
2023/10/02,월,KT,LG,수원,18700,수원,케이티위즈파크,"20,000",18700,100.0
2023/10/02,월,한화,NC,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2023/10/02,월,롯데,삼성,사직,15868,사직,사직야구장,"22,990",22758,69.72493189208191
2023/10/02,월,롯데,삼성,사직,16293,사직,사직야구장,"22,990",22758,71.59240706564725
2023/10/02,월,두산,키움,잠실,18050,잠실,서울종합운동장 야구장,"25,553",23750,76.0
2023/10/03,화,KT,KIA,수원,16841,수원,케이티위즈파크,"20,000",18700,90.05882352941177
2023/10/03,화,SSG,NC,문학,14507,문학,인천 SSG 랜더스필드,"23,000",23000,63.07391304347826
2023/10/03,화,롯데,삼성,사직,13042,사직,사직야구장,"22,990",22758,57.30732050268038
2023/10/03,화,두산,키움,잠실,14588,잠실,서울종합운동장 야구장,"25,553",23750,61.423157894736846
2023/10/04,수,삼성,한화,대구,12571,대구,대구 삼성 라이온즈파크,"24,000",24000,52.37916666666666
2023/10/04,수,KT,KIA,수원,3908,수원,케이티위즈파크,"20,000",18700,20.898395721925134
2023/10/04,수,KT,KIA,수원,5907,수원,케이티위즈파크,"20,000",18700,31.588235294117645
2023/10/04,수,롯데,LG,사직,6970,사직,사직야구장,"22,990",22758,30.626592846471574
2023/10/04,수,SSG,NC,문학,8006,문학,인천 SSG 랜더스필드,"23,000",23000,34.80869565217392
2023/10/05,목,삼성,한화,대구,14483,대구,대구 삼성 라이온즈파크,"24,000",24000,60.34583333333333
2023/10/05,목,KT,KIA,수원,7264,수원,케이티위즈파크,"20,000",18700,38.844919786096256
2023/10/05,목,롯데,LG,사직,10040,사직,사직야구장,"22,990",22758,44.1163546884612
2023/10/05,목,SSG,NC,문학,9004,문학,인천 SSG 랜더스필드,"23,000",23000,39.14782608695652
2023/10/06,금,SSG,한화,문학,15755,문학,인천 SSG 랜더스필드,"23,000",23000,68.5
2023/10/06,금,LG,KIA,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/10/06,금,KT,삼성,수원,8132,수원,케이티위즈파크,"20,000",18700,43.48663101604278
2023/10/07,토,KT,한화,수원,15210,수원,케이티위즈파크,"20,000",18700,81.33689839572192
2023/10/07,토,키움,LG,고척,13301,고척,고척스카이돔,"17,000",16000,83.13125
2023/10/07,토,두산,롯데,잠실,19916,잠실,서울종합운동장 야구장,"25,553",23750,83.85684210526317
2023/10/07,토,NC,SSG,창원,13479,창원,창원NC파크,"22,112",17891,75.33955620144206
2023/10/08,일,KT,한화,수원,15197,수원,케이티위즈파크,"20,000",18700,81.26737967914438
2023/10/08,일,두산,롯데,잠실,21392,잠실,서울종합운동장 야구장,"25,553",23750,90.07157894736842
2023/10/08,일,NC,SSG,창원,10073,창원,창원NC파크,"22,112",17891,56.30205131071489
2023/10/08,일,KIA,삼성,광주,16005,광주,광주-KIA 챔피언스 필드,"20,500",20500,78.07317073170732
2023/10/09,월,NC,한화,창원,8716,창원,창원NC파크,"22,112",17891,48.71723212788553
2023/10/09,월,LG,롯데,잠실,22807,잠실,서울종합운동장 야구장,"25,553",23750,96.02947368421053
2023/10/09,월,KIA,삼성,광주,12758,광주,광주-KIA 챔피언스 필드,"20,500",20500,62.234146341463415
2023/10/10,화,NC,한화,창원,7342,창원,창원NC파크,"22,112",17891,41.03739310267732
2023/10/10,화,LG,롯데,잠실,18521,잠실,서울종합운동장 야구장,"25,553",23750,77.98315789473685
2023/10/10,화,KT,두산,수원,10937,수원,케이티위즈파크,"20,000",18700,58.48663101604278
2023/10/10,화,KIA,SSG,광주,8333,광주,광주-KIA 챔피언스 필드,"20,500",20500,40.64878048780488
2023/10/10,화,키움,삼성,고척,11757,고척,고척스카이돔,"17,000",16000,73.48125
2023/10/11,수,롯데,두산,사직,9940,사직,사직야구장,"22,990",22758,43.67694876526936
2023/10/11,수,KIA,키움,광주,3656,광주,광주-KIA 챔피언스 필드,"20,500",20500,17.834146341463413
2023/10/12,목,KIA,롯데,광주,4767,광주,광주-KIA 챔피언스 필드,"20,500",20500,23.253658536585366
2023/10/12,목,두산,NC,잠실,7113,잠실,서울종합운동장 야구장,"25,553",23750,29.949473684210524
2023/10/13,금,두산,KIA,잠실,19188,잠실,서울종합운동장 야구장,"25,553",23750,80.79157894736842
2023/10/13,금,NC,LG,창원,6257,창원,창원NC파크,"22,112",17891,34.972891397909564
2023/10/13,금,SSG,키움,문학,16783,문학,인천 SSG 랜더스필드,"23,000",23000,72.9695652173913
2023/10/14,토,한화,롯데,대전,9153,대전,한화생명 이글스 파크,"13,000",12000,76.275
2023/10/14,토,LG,두산,잠실,21771,잠실,서울종합운동장 야구장,"25,553",23750,91.66736842105263
2023/10/14,토,삼성,SSG,대구,24000,대구,대구 삼성 라이온즈파크,"24,000",24000,100.0
2023/10/15,일,한화,롯데,대전,9840,대전,한화생명 이글스 파크,"13,000",12000,82.0
2023/10/15,일,LG,두산,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2023/10/15,일,NC,삼성,창원,17861,창원,창원NC파크,"22,112",17891,99.8323179252138
2023/10/16,월,한화,롯데,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2023/10/16,월,KIA,NC,광주,5251,광주,광주-KIA 챔피언스 필드,"20,500",20500,25.614634146341466
2023/10/16,월,두산,SSG,잠실,15850,잠실,서울종합운동장 야구장,"25,553",23750,66.73684210526316
2023/10/17,화,KIA,NC,광주,10175,광주,광주-KIA 챔피언스 필드,"20,500",20500,49.63414634146341
2023/10/17,화,SSG,두산,문학,21007,문학,인천 SSG 랜더스필드,"23,000",23000,91.33478260869565
