날짜,요일,홈,방문,구장_x,관중수,지역,구장_y,수용인원(KBO),좌석수,점유율
2024/03/23,토,LG,한화,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/03/23,토,SSG,롯데,문학,23000,문학,인천 SSG 랜더스필드,"23,000",23000,100.0
2024/03/23,토,NC,두산,창원,17891,창원,창원NC파크,"22,112",17891,100.0
2024/03/23,토,KT,삼성,수원,18700,수원,케이티위즈파크,"20,000",18700,100.0
2024/03/23,토,KIA,키움,광주,20500,광주,광주-KIA 챔피언스 필드,"20,500",20500,100.0
2024/03/24,일,LG,한화,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/03/24,일,SSG,롯데,문학,23000,문학,인천 SSG 랜더스필드,"23,000",23000,100.0
2024/03/24,일,NC,두산,창원,14555,창원,창원NC파크,"22,112",17891,81.35375328377397
2024/03/24,일,KT,삼성,수원,18700,수원,케이티위즈파크,"20,000",18700,100.0
2024/03/26,화,SSG,한화,문학,10541,문학,인천 SSG 랜더스필드,"23,000",23000,45.8304347826087
2024/03/26,화,KIA,롯데,광주,7328,광주,광주-KIA 챔피언스 필드,"20,500",20500,35.74634146341463
2024/03/26,화,KT,두산,수원,4378,수원,케이티위즈파크,"20,000",18700,23.411764705882355
2024/03/26,화,LG,삼성,잠실,14229,잠실,서울종합운동장 야구장,"25,553",23750,59.91157894736842
2024/03/26,화,NC,키움,창원,2839,창원,창원NC파크,"22,112",17891,15.868313677267901
2024/03/27,수,SSG,한화,문학,11005,문학,인천 SSG 랜더스필드,"23,000",23000,47.84782608695652
2024/03/27,수,KIA,롯데,광주,8672,광주,광주-KIA 챔피언스 필드,"20,500",20500,42.302439024390246
2024/03/27,수,KT,두산,수원,5271,수원,케이티위즈파크,"20,000",18700,28.18716577540107
2024/03/27,수,LG,삼성,잠실,18041,잠실,서울종합운동장 야구장,"25,553",23750,75.9621052631579
2024/03/27,수,NC,키움,창원,3681,창원,창원NC파크,"22,112",17891,20.574590576267397
2024/03/28,목,SSG,한화,문학,11755,문학,인천 SSG 랜더스필드,"23,000",23000,51.10869565217391
2024/03/28,목,KT,두산,수원,4304,수원,케이티위즈파크,"20,000",18700,23.016042780748663
2024/03/28,목,LG,삼성,잠실,13420,잠실,서울종합운동장 야구장,"25,553",23750,56.50526315789474
2024/03/29,금,두산,KIA,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/03/29,금,한화,KT,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/03/29,금,키움,LG,고척,8465,고척,고척스카이돔,"17,000",16000,52.90625
2024/03/29,금,롯데,NC,사직,21554,사직,사직야구장,"22,990",22758,94.70955268477019
2024/03/29,금,삼성,SSG,대구,21479,대구,대구 삼성 라이온즈파크,"24,000",24000,89.49583333333334
2024/03/30,토,두산,KIA,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/03/30,토,한화,KT,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/03/30,토,키움,LG,고척,13462,고척,고척스카이돔,"17,000",16000,84.1375
2024/03/30,토,롯데,NC,사직,22754,사직,사직야구장,"22,990",22758,99.98242376307232
2024/03/30,토,삼성,SSG,대구,24000,대구,대구 삼성 라이온즈파크,"24,000",24000,100.0
2024/03/31,일,두산,KIA,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/03/31,일,한화,KT,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/03/31,일,키움,LG,고척,11822,고척,고척스카이돔,"17,000",16000,73.88749999999999
2024/03/31,일,롯데,NC,사직,21578,사직,사직야구장,"22,990",22758,94.81501010633623
2024/03/31,일,삼성,SSG,대구,22886,대구,대구 삼성 라이온즈파크,"24,000",24000,95.35833333333333
2024/04/02,화,KT,KIA,수원,9682,수원,케이티위즈파크,"20,000",18700,51.775401069518715
2024/04/02,화,한화,롯데,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/04/02,화,LG,NC,잠실,11845,잠실,서울종합운동장 야구장,"25,553",23750,49.873684210526314
2024/04/02,화,SSG,두산,문학,12379,문학,인천 SSG 랜더스필드,"23,000",23000,53.821739130434786
2024/04/02,화,삼성,키움,대구,8541,대구,대구 삼성 라이온즈파크,"24,000",24000,35.5875
2024/04/03,수,KT,KIA,수원,8050,수원,케이티위즈파크,"20,000",18700,43.04812834224599
2024/04/03,수,LG,NC,잠실,10239,잠실,서울종합운동장 야구장,"25,553",23750,43.11157894736842
2024/04/03,수,SSG,두산,문학,12128,문학,인천 SSG 랜더스필드,"23,000",23000,52.73043478260869
2024/04/04,목,KT,KIA,수원,10722,수원,케이티위즈파크,"20,000",18700,57.336898395721924
2024/04/04,목,한화,롯데,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/04/04,목,LG,NC,잠실,11406,잠실,서울종합운동장 야구장,"25,553",23750,48.025263157894734
2024/04/04,목,SSG,두산,문학,14249,문학,인천 SSG 랜더스필드,"23,000",23000,61.952173913043474
2024/04/04,목,삼성,키움,대구,8193,대구,대구 삼성 라이온즈파크,"24,000",24000,34.137499999999996
2024/04/05,금,키움,한화,고척,16000,고척,고척스카이돔,"17,000",16000,100.0
2024/04/05,금,LG,KT,잠실,13818,잠실,서울종합운동장 야구장,"25,553",23750,58.18105263157894
2024/04/05,금,롯데,두산,사직,12289,사직,사직야구장,"22,990",22758,53.99859390104579
2024/04/05,금,NC,SSG,창원,5452,창원,창원NC파크,"22,112",17891,30.473422391146386
2024/04/05,금,KIA,삼성,광주,14233,광주,광주-KIA 챔피언스 필드,"20,500",20500,69.42926829268292
2024/04/06,토,키움,한화,고척,16000,고척,고척스카이돔,"17,000",16000,100.0
2024/04/06,토,LG,KT,잠실,21824,잠실,서울종합운동장 야구장,"25,553",23750,91.89052631578947
2024/04/06,토,롯데,두산,사직,19208,사직,사직야구장,"22,990",22758,84.40108972668952
2024/04/06,토,NC,SSG,창원,11064,창원,창원NC파크,"22,112",17891,61.84114918115253
2024/04/06,토,KIA,삼성,광주,20500,광주,광주-KIA 챔피언스 필드,"20,500",20500,100.0
2024/04/07,일,키움,한화,고척,16000,고척,고척스카이돔,"17,000",16000,100.0
2024/04/07,일,LG,KT,잠실,19249,잠실,서울종합운동장 야구장,"25,553",23750,81.04842105263158
2024/04/07,일,롯데,두산,사직,16755,사직,사직야구장,"22,990",22758,73.62246243079356
2024/04/07,일,NC,SSG,창원,8861,창원,창원NC파크,"22,112",17891,49.52769548935218
2024/04/07,일,KIA,삼성,광주,20500,광주,광주-KIA 챔피언스 필드,"20,500",20500,100.0
2024/04/09,화,두산,한화,잠실,23598,잠실,서울종합운동장 야구장,"25,553",23750,99.36
2024/04/09,화,NC,KT,창원,4918,창원,창원NC파크,"22,112",17891,27.48868145995193
2024/04/09,화,KIA,LG,광주,11817,광주,광주-KIA 챔피언스 필드,"20,500",20500,57.64390243902439
2024/04/09,화,롯데,삼성,사직,15076,사직,사직야구장,"22,990",22758,66.2448369804025
2024/04/09,화,SSG,키움,문학,9468,문학,인천 SSG 랜더스필드,"23,000",23000,41.165217391304346
2024/04/10,수,두산,한화,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/04/10,수,NC,KT,창원,9895,창원,창원NC파크,"22,112",17891,55.307137666983394
2024/04/10,수,KIA,LG,광주,20500,광주,광주-KIA 챔피언스 필드,"20,500",20500,100.0
2024/04/10,수,롯데,삼성,사직,22758,사직,사직야구장,"22,990",22758,100.0
2024/04/10,수,SSG,키움,문학,20511,문학,인천 SSG 랜더스필드,"23,000",23000,89.17826086956522
2024/04/11,목,두산,한화,잠실,22157,잠실,서울종합운동장 야구장,"25,553",23750,93.29263157894736
2024/04/11,목,NC,KT,창원,3311,창원,창원NC파크,"22,112",17891,18.506511653904198
2024/04/11,목,KIA,LG,광주,11475,광주,광주-KIA 챔피언스 필드,"20,500",20500,55.97560975609757
2024/04/11,목,롯데,삼성,사직,11628,사직,사직야구장,"22,990",22758,51.0941207487477
2024/04/11,목,SSG,키움,문학,7250,문학,인천 SSG 랜더스필드,"23,000",23000,31.521739130434785
2024/04/12,금,한화,KIA,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/04/12,금,두산,LG,잠실,19916,잠실,서울종합운동장 야구장,"25,553",23750,83.85684210526317
2024/04/12,금,키움,롯데,고척,8838,고척,고척스카이돔,"17,000",16000,55.2375
2024/04/12,금,삼성,NC,대구,13104,대구,대구 삼성 라이온즈파크,"24,000",24000,54.6
2024/04/12,금,KT,SSG,수원,6912,수원,케이티위즈파크,"20,000",18700,36.962566844919785
2024/04/13,토,한화,KIA,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
2024/04/13,토,두산,LG,잠실,23750,잠실,서울종합운동장 야구장,"25,553",23750,100.0
2024/04/13,토,키움,롯데,고척,14197,고척,고척스카이돔,"17,000",16000,88.73124999999999
2024/04/13,토,삼성,NC,대구,24000,대구,대구 삼성 라이온즈파크,"24,000",24000,100.0
2024/04/13,토,KT,SSG,수원,13995,수원,케이티위즈파크,"20,000",18700,74.83957219251337
2024/04/14,일,한화,KIA,대전,12000,대전,한화생명 이글스 파크,"13,000",12000,100.0
