
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
6월,4,4,0,0,2,0,0,0,25.0,7,5,7.00,102,99,27,4,0,3,3,0,0,17,387,1.20,0.273,0.294,0.698,1.80,1.20,7.19,0.700
7월,5,5,0,0,1,2,0,0,30.0,17,15,17.00,131,124,37,2,0,2,3,0,1,24,487,1.33,0.298,0.315,0.678,4.50,1.09,-0.46,-0.220
8월,2,2,0,0,0,1,0,0,10.0,7,7,7.00,46,42,14,4,0,1,4,0,0,9,187,1.80,0.333,0.391,0.891,6.30,0.92,-2.03,-0.216
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,4,4,0,0,2,0,0,0,25.0,4,3,4.00,101,93,22,2,0,0,5,0,1,23,401,1.08,0.237,0.280,0.538,1.08,1.16,9.40,0.939
수,8,8,0,0,1,4,0,0,47.0,34,29,34.00,211,198,65,10,1,4,7,0,1,39,755,1.53,0.328,0.349,0.798,5.55,1.09,-7.74,-1.009
목,4,4,0,0,2,1,0,0,23.0,7,6,7.00,91,86,17,1,0,0,5,0,0,19,369,0.96,0.198,0.242,0.451,2.35,0.99,6.14,0.603
금,2,2,0,0,0,1,0,0,10.1,11,11,9.95,48,46,17,1,0,0,2,0,0,11,170,1.84,0.370,0.396,0.787,9.58,1.33,-4.33,-0.542
토,2,2,0,0,0,1,0,0,9.2,6,3,6.00,46,41,13,0,0,0,5,0,0,4,184,1.86,0.317,0.391,0.708,2.79,1.11,-1.04,-0.143
일,2,2,0,0,1,0,0,0,10.0,5,5,5.00,43,40,11,1,0,3,3,0,0,9,184,1.40,0.275,0.326,0.851,4.50,0.75,0.70,-0.178
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,3,3,0,0,1,1,0,0,13.2,10,7,10.00,64,58,17,1,0,3,6,0,0,9,270,1.68,0.293,0.359,0.825,4.61,0.87,-2.73,-0.553
17:00,2,2,0,0,1,0,0,0,12.0,1,1,1.00,49,46,12,1,0,0,3,0,0,7,197,1.25,0.261,0.306,0.589,0.75,1.10,5.76,0.588
18:30,17,17,0,0,4,6,0,0,99.1,56,49,54.95,427,400,116,13,1,4,18,0,2,89,1596,1.35,0.290,0.321,0.679,4.44,1.11,0.09,-0.364
이름: 양현종(Hyeon-Jong Yang),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,18,18,0,0,8,4,0,0,106.0,43,35,43.00,435,390,90,15,2,6,29,1,3,79,1654,1.12,0.231,0.285,0.611,2.97,1.03,8.37,1.308
후반기,12,12,0,0,4,3,0,0,69.1,43,40,42.15,308,282,80,18,1,8,21,0,0,62,1202,1.46,0.284,0.330,0.770,5.19,0.93,-10.43,-0.981
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
4월,5,5,0,0,1,2,0,0,31.2,11,6,11.00,125,116,20,4,1,0,6,0,1,29,455,0.82,0.172,0.218,0.442,1.71,1.01,4.24,0.548
5월,6,6,0,0,4,0,0,0,34.1,15,12,15.00,139,125,32,6,1,3,8,1,1,21,532,1.17,0.256,0.297,0.689,3.15,1.06,0.72,0.517
6월,5,5,0,0,2,1,0,0,30.0,11,11,11.00,124,110,28,2,0,2,8,0,1,24,487,1.20,0.255,0.311,0.638,3.30,1.16,4.31,0.374
7월,4,4,0,0,3,1,0,0,23.0,11,11,10.50,102,88,23,7,0,1,11,0,0,12,381,1.48,0.261,0.337,0.712,4.30,0.70,1.09,0.098
8월,5,5,0,0,1,2,0,0,28.1,23,22,23.00,129,117,34,8,0,5,10,0,0,29,530,1.55,0.291,0.344,0.831,6.99,0.95,-10.75,-0.876
9월,4,4,0,0,1,1,0,0,23.0,13,11,12.65,99,94,26,5,1,3,5,0,0,23,380,1.35,0.277,0.313,0.760,4.30,0.97,-2.22,-0.330
10월,1,1,0,0,0,0,0,0,5.0,2,2,2.00,25,22,7,1,0,0,2,0,0,3,91,1.80,0.318,0.360,0.724,3.60,1.20,0.55,-0.001
