name,연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
송승준,2016,롯데,8.71,10,0,0,1,2,0,0,0.333,201,41 1/3,62,6,21,2,35,43,40
송승준,2017,롯데,4.21,30,0,0,11,5,0,1,0.688,558,130 1/3,132,19,41,4,113,63,61
송승준,2018,롯데,6.15,22,0,0,3,4,0,0,0.429,361,79,93,8,35,4,68,58,54
송승준,2019,롯데,4.40,11,0,0,0,1,0,0,0.000,64,14 1/3,16,2,6,0,13,7,7
송승준,2020,롯데,6.20,22,0,0,2,2,0,1,0.500,119,24 2/3,30,2,14,3,25,17,17
윤석민,2005,KIA,4.29,53,0,0,3,4,7,0,0.429,372,84,92,8,32,6,49,47,40
윤석민,2006,KIA,2.28,63,0,0,5,6,19,9,0.455,381,94 2/3,81,5,27,4,75,26,24
윤석민,2007,KIA,3.78,28,2,1,7,18,0,0,0.280,703,162,161,10,59,15,104,76,68
윤석민,2008,KIA,2.33,24,1,0,14,5,0,1,0.737,612,154 2/3,121,10,42,4,119,45,40
윤석민,2009,KIA,3.46,27,0,0,9,4,7,0,0.692,510,119 2/3,110,9,44,8,117,52,46
윤석민,2010,KIA,3.83,23,1,0,6,3,3,0,0.667,432,101,95,5,36,3,94,48,43
윤석민,2011,KIA,2.45,27,3,3,17,5,1,0,0.773,679,172 1/3,137,10,44,6,178,53,47
윤석민,2012,KIA,3.12,28,3,2,9,8,0,0,0.529,619,153,120,9,33,8,137,60,53
윤석민,2013,KIA,4.00,30,1,0,3,6,7,2,0.333,372,87 2/3,91,9,28,1,76,41,39
윤석민,2015,KIA,2.96,51,0,0,2,6,30,0,0.250,297,70,69,4,24,2,68,23,23
윤석민,2016,KIA,3.19,16,1,0,2,2,1,6,0.500,139,31,36,1,8,5,26,14,11
윤석민,2018,KIA,6.75,28,0,0,0,8,11,0,0.000,182,40,55,9,10,0,29,32,30
이대은,2019,KT,4.08,44,0,0,4,2,17,0,0.667,391,86,89,10,39,6,59,48,39
이대은,2020,KT,5.83,20,0,0,0,4,1,0,0.000,142,29 1/3,36,4,13,5,15,23,19
이대은,2021,KT,3.48,31,0,0,3,2,1,9,0.600,128,31,27,4,11,1,22,15,12
이상훈,1993,LG,3.76,28,7,3,9,9,0,0,0.500,635,150 2/3,129,10,75,3,131,65,63
이상훈,1994,LG,2.47,27,6,2,18,8,0,0,0.692,754,189 2/3,140,9,57,7,148,58,52
이상훈,1995,LG,2.01,30,12,3,20,5,0,0,0.800,867,228 1/3,150,12,48,3,142,61,51
이상훈,1996,LG,2.54,41,0,0,3,3,10,0,0.500,401,99 1/3,70,8,37,5,95,32,28
이상훈,1997,LG,2.11,57,0,0,10,6,37,0,0.625,336,85 1/3,56,6,25,2,103,23,20
이상훈,2002,LG,1.68,52,0,0,7,2,18,0,0.778,343,85 2/3,53,8,30,3,92,18,16
이상훈,2003,LG,3.34,55,0,0,4,4,30,0,0.500,233,56 2/3,42,4,21,0,55,22,21
이상훈,2004,SK,5.14,18,0,0,0,3,3,1,0.000,61,14,11,2,9,0,15,8,8
임창용,1995,해태,5.83,14,0,0,0,2,0,0,0.000,126,29 1/3,37,0,5,3,16,19,19
임창용,1996,해태,3.22,49,0,0,7,7,0,0,0.500,469,114 2/3,91,8,38,6,78,48,41
임창용,1997,해태,2.33,64,0,0,14,8,26,0,0.636,526,135,93,6,36,6,120,44,35
임창용,1998,해태,1.89,59,0,0,8,7,34,0,0.533,524,133 2/3,90,4,30,12,141,35,28
임창용,1999,삼성,2.14,71,0,0,13,4,38,0,0.765,535,138 2/3,91,10,29,7,141,33,33
임창용,2000,삼성,1.52,52,0,0,5,4,30,0,0.556,345,88 2/3,58,2,22,9,95,19,15
임창용,2001,삼성,3.90,30,1,1,14,6,1,0,0.700,791,184 2/3,169,25,62,17,136,88,80
임창용,2002,삼성,3.08,36,0,0,17,6,2,0,0.739,841,204 1/3,188,24,34,24,160,82,70
임창용,2003,삼성,3.55,28,1,1,13,3,1,0,0.813,618,147,141,15,44,15,85,63,58
임창용,2004,삼성,2.01,61,0,0,2,4,36,0,0.333,271,67,51,4,22,4,67,19,15
임창용,2005,삼성,6.50,29,0,0,5,8,0,3,0.385,427,91 1/3,110,11,36,15,70,67,66
임창용,2006,삼성,4.50,1,0,0,1,0,0,0,1.000,9,2,3,0,1,0,0,1,1
임창용,2007,삼성,4.90,40,0,0,5,7,0,3,0.417,536,119 1/3,138,9,44,10,62,68,65
임창용,2014,삼성,5.84,49,0,0,5,4,31,0,0.556,205,44 2/3,50,4,21,4,52,33,29
임창용,2015,삼성,2.83,55,0,0,5,2,33,0,0.714,219,54,45,2,13,3,71,17,17
임창용,2016,KIA,4.37,34,0,0,3,3,15,0,0.500,159,35,45,5,10,1,38,18,17
임창용,2017,KIA,3.78,51,0,0,8,6,7,9,0.571,225,50,51,3,22,5,58,22,21
임창용,2018,KIA,5.42,37,0,0,5,5,4,4,0.500,388,86 1/3,92,16,29,11,84,54,52
김광현,2007,SK,3.62,20,0,0,3,7,0,0,0.300,342,77,80,5,41,4,52,35,31
김광현,2008,SK,2.39,27,1,1,16,4,0,0,0.800,659,162,127,9,63,2,150,50,43
김광현,2009,SK,2.80,21,1,0,12,2,0,0,0.857,568,138 1/3,121,14,53,4,112,46,43
김광현,2010,SK,2.37,31,2,1,17,7,0,0,0.708,797,193 2/3,153,13,84,5,183,56,51
김광현,2011,SK,4.84,17,1,0,4,6,0,0,0.400,328,74 1/3,70,6,45,2,61,45,40
김광현,2012,SK,4.30,16,0,0,8,5,0,0,0.615,347,81 2/3,85,9,36,2,65,44,39
김광현,2013,SK,4.47,25,0,0,10,9,0,0,0.526,580,133,128,12,68,4,102,72,66
김광현,2014,SK,3.42,28,1,0,13,9,0,0,0.591,749,173 2/3,178,10,81,3,145,77,66
김광현,2015,SK,3.72,30,1,1,14,6,0,1,0.700,754,176 2/3,173,19,66,3,160,86,73
김광현,2016,SK,3.88,27,1,0,11,8,0,1,0.579,583,137,139,17,41,6,116,68,59
김광현,2018,SK,2.98,25,0,0,11,8,0,0,0.579,554,136,125,16,30,2,130,48,45
김광현,2019,SK,2.51,31,0,0,17,6,0,0,0.739,786,190 1/3,198,13,38,2,180,64,53
